Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi button Cart terlihat,,2024-09-16 22:48:03,2024-09-16 22:48:03,"0,359s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 22:48:03,2024-09-16 22:48:06,"2,175s",PASSED
"click(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Klik button Cart,,2024-09-16 22:48:06,2024-09-16 22:48:06,"0,384s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:48:06,2024-09-16 22:48:07,"0,625s",PASSED
product.verifyproduct.verifyProductCountCart(),Chrome 127.0.0.0,Verifikasi bahwa product count dengan product yang ada di cart sudah sesuai,,2024-09-16 22:48:07,2024-09-16 22:48:08,"1,543s",PASSED
"verifyElementVisible(findTestObject(""Cart_Page/Button_Checkout""))",Chrome 127.0.0.0,Verifikasi button checkout terlihat,,2024-09-16 22:48:08,2024-09-16 22:48:09,"0,409s",PASSED
"verifyElementClickable(findTestObject(""Cart_Page/Button_Checkout""))",Chrome 127.0.0.0,Verifikasi button checkout dapat diklik,,2024-09-16 22:48:09,2024-09-16 22:48:09,"0,387s",PASSED
"click(findTestObject(""Cart_Page/Button_Checkout""))",Chrome 127.0.0.0,Klik button checkout,,2024-09-16 22:48:09,2024-09-16 22:48:09,"0,428s",PASSED
Video,Chrome 127.0.0.0,,,2024-09-16 22:48:12,2024-09-16 22:48:12,"0,001s",PASSED
,,,,,,,
Test Cases/YourInformation_Page/Positive_Case/InputData_YourInformation,Chrome 127.0.0.0,,,2024-09-16 22:48:12,2024-09-16 22:48:24,"12,076s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 127.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 22:48:12,2024-09-16 22:48:12,"0,379s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 22:48:12,2024-09-16 22:48:13,"0,409s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 22:48:13,2024-09-16 22:48:13,"0,361s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger terlihat,,2024-09-16 22:48:13,2024-09-16 22:48:14,"0,350s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger dapat diklik,,2024-09-16 22:48:14,2024-09-16 22:48:14,"0,345s",PASSED
"verifyElementVisible(findTestObject(""YourInformation_Page/Label_Checkout Your Information""))",Chrome 127.0.0.0,Verifikasi label checkout: Your Information terlihat,,2024-09-16 22:48:14,2024-09-16 22:48:14,"0,363s",PASSED
"verifyElementVisible(findTestObject(""YourInformation_Page/TextArea_FirstName""))",Chrome 127.0.0.0,Verifikasi element FirstName Terlihat,,2024-09-16 22:48:14,2024-09-16 22:48:15,"0,354s",PASSED
"setText(findTestObject(""YourInformation_Page/TextArea_FirstName""), firstName)",Chrome 127.0.0.0,Input text firstName,,2024-09-16 22:48:15,2024-09-16 22:48:15,"0,725s",PASSED
"namapertama = getAttribute(findTestObject(""YourInformation_Page/TextArea_FirstName""), ""value"")",Chrome 127.0.0.0,ambil atribut value firstName yang telah diinput,,2024-09-16 22:48:15,2024-09-16 22:48:16,"0,453s",PASSED
println(namapertama),Chrome 127.0.0.0,print value firstName yang telah diinput,,2024-09-16 22:48:16,2024-09-16 22:48:16,"0,011s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil Screenshot pada Window,,2024-09-16 22:48:16,2024-09-16 22:48:16,"0,393s",PASSED
"verifyElementVisible(findTestObject(""YourInformation_Page/TextArea_LastName""))",Chrome 127.0.0.0,Verifikasi element LastName Terlihat,,2024-09-16 22:48:16,2024-09-16 22:48:17,"0,365s",PASSED
"setText(findTestObject(""YourInformation_Page/TextArea_LastName""), lastName)",Chrome 127.0.0.0,Input text lastName,,2024-09-16 22:48:17,2024-09-16 22:48:17,"0,774s",PASSED
"namaterakhir = getAttribute(findTestObject(""YourInformation_Page/TextArea_LastName""), ""value"")",Chrome 127.0.0.0,ambil atribut value lastName yang telah diinput,,2024-09-16 22:48:17,2024-09-16 22:48:18,"0,478s",PASSED
println(namaterakhir),Chrome 127.0.0.0,print value lastName yang telah diinput,,2024-09-16 22:48:18,2024-09-16 22:48:18,"0,002s",PASSED
takeScreenshot(),Chrome 127.0.0.0,mengambil Screenshot pada window,,2024-09-16 22:48:18,2024-09-16 22:48:18,"0,398s",PASSED
"verifyElementVisible(findTestObject(""YourInformation_Page/TextArea_PostalCode""))",Chrome 127.0.0.0,Verifikasi element postalCode Terlihat,,2024-09-16 22:48:18,2024-09-16 22:48:19,"0,396s",PASSED
"setText(findTestObject(""YourInformation_Page/TextArea_PostalCode""), postalCode)",Chrome 127.0.0.0,Input text PostalCode,,2024-09-16 22:48:19,2024-09-16 22:48:19,"0,749s",PASSED
"postalcode = getAttribute(findTestObject(""YourInformation_Page/TextArea_PostalCode""), ""value"")",Chrome 127.0.0.0,ambil atribut value postalcode yang telah diinput,,2024-09-16 22:48:19,2024-09-16 22:48:20,"0,516s",PASSED
println(postalcode),Chrome 127.0.0.0,print value postalCode,,2024-09-16 22:48:20,2024-09-16 22:48:20,"0,002s",PASSED
takeScreenshot(),Chrome 127.0.0.0,mengambil screenshot pada window,,2024-09-16 22:48:20,2024-09-16 22:48:20,"0,381s",PASSED
"verifyElementVisible(findTestObject(""YourInformation_Page/Button_Continue""))",Chrome 127.0.0.0,Verifikasi element button continue Terlihat,,2024-09-16 22:48:20,2024-09-16 22:48:21,"0,400s",PASSED
"verifyElementClickable(findTestObject(""YourInformation_Page/Button_Continue""))",Chrome 127.0.0.0,Verifikasi element button continue dapat diklik,,2024-09-16 22:48:21,2024-09-16 22:48:21,"0,398s",PASSED
"click(findTestObject(""YourInformation_Page/Button_Continue""))",Chrome 127.0.0.0,klik button Continue,,2024-09-16 22:48:21,2024-09-16 22:48:22,"0,480s",PASSED
Video,Chrome 127.0.0.0,,,2024-09-16 22:48:24,2024-09-16 22:48:24,"0,002s",PASSED
,,,,,,,
Test Cases/Checkout_Overview_Page/Positive_Case/Checkout_Product,Chrome 127.0.0.0,,,2024-09-16 22:48:24,2024-09-16 22:48:37,"12,983s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 127.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 22:48:24,2024-09-16 22:48:25,"0,427s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 22:48:25,2024-09-16 22:48:25,"0,376s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 22:48:25,2024-09-16 22:48:26,"0,346s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger terlihat,,2024-09-16 22:48:26,2024-09-16 22:48:26,"0,394s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger dapat diklik,,2024-09-16 22:48:26,2024-09-16 22:48:26,"0,361s",PASSED
"verifyElementVisible(findTestObject(""Checkout_Overview_Page/Label_CheckoutOverview""))",Chrome 127.0.0.0,Verifikasi element title checkout overview terlihat,,2024-09-16 22:48:26,2024-09-16 22:48:27,"0,369s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot window,,2024-09-16 22:48:27,2024-09-16 22:48:27,"0,414s",PASSED
product.verifyproduct.verifyProductPrice(),Chrome 127.0.0.0,Verifikasi harga produk dengan harga total + tax sudah sesuai,,2024-09-16 22:48:27,2024-09-16 22:48:30,"2,689s",PASSED
product.verifyproduct.verifyProductCountCart(),Chrome 127.0.0.0,Verifikasi quantity barang yang dicheckout sudah sesuai,,2024-09-16 22:48:30,2024-09-16 22:48:31,"1,553s",PASSED
